from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
0,1,0.62996054130857393,-0.047055088305792143,0.42800071913282522,0.011133125423819001,-0.0010136941212066928,-0.010497673408834856,0.99988240548352869,0.059076311890003022,0.01561344097362647,0
1,2,0.66735938458979893,0.011049661185778766,0.39178755160450535,-0.0017550233248736955,-0.0027843255820214105,0.0037021294676453259,0.99998773075552649,0.059348580839506171,0.015198145559124202,0
2,3,0.65541394452333801,-0.036206189598997567,0.36565769364300893,0.0057845072043951114,-0.0017497113215841217,-0.012405135831335807,0.99990479076345051,0.058784699155184195,0.015551973180182498,0
3,4,0.65751720827758797,0.018883015361649873,0.36392067022518115,-0.0024539475964859515,-0.0009142582241913669,0.0093430189533263638,0.99995292402689184,0.058793677488510707,0.015388129225781892,0
4,5,0.66639195511860683,-0.053124796193168289,0.35638723952521367,0.018788874598913576,0.0075531715469783507,-0.02935311664114057,0.99936395889302509,0.058939250683332341,0.016426726090744252,0
5,6,0.65895986167517684,0.019561853078706615,0.36807924185777297,-0.0029866679054600513,0.002710080775135936,0.010961907197706263,0.9999317836070637,0.058876127345165279,0.015467220439723484,0
6,7,0.6543501349545382,0.011854011657472588,0.3668331684588626,-0.0049187508004016672,-0.0032711322388785011,0.010097508949738087,0.99993157060743376,0.058756352093840204,0.015467949306693042,0
7,8,0.6648047439424225,0.011832644904372781,0.37618189560661186,-0.011754737469038179,-0.0010300129004681324,0.0093296187193883003,0.99988685531664523,0.059098726685893992,0.015601722373296149,0
8,9,0.17255855125335806,-0.071530813914535613,0.06481662290078205,0.064151175692491791,0.016500606265822962,-0.12963209232593834,0.98934719754458844,0.044943069994585597,0.020843771403921706,0
9,10,0.10929333720311263,-0.086539421585553056,0.091351615970064248,0.076766971160101324,-0.011017994031947453,-0.10810330071791834,0.99111004046993056,0.044166775040851251,0.020337613771671627,0
10,11,-0.039378111405717675,-0.061458775065324378,-0.00020525607009869162,0.069530383786413588,-0.0037303977874216096,-0.11645410861197979,0.9907522649230992,0.041824804582082965,0.020444123074464388,0
11,12,-0.013418142324706839,-0.097452827142403109,-0.0074044959202295146,0.069083500145320081,0.0012518904582963849,-0.13472323210529943,0.98847132154102157,0.042466263193239658,0.021079710138252494,0
12,13,0.37592174711165427,0.14718088106463689,0.18137641785176317,-0.074730856306567811,-0.0013216955126202788,0.10750377308196415,0.99139118969748807,0.051064492099029524,0.020252409937740273,0
13,14,0.14708476548901395,-0.10468119874160831,0.100315420123128,0.079654569739627978,-0.0021994460878168483,-0.11589760314111359,0.99005962322611984,0.045163287780294284,0.020644647470479414,0
14,15,0.1007732796972105,-0.075717616144185484,0.053075330344853011,0.073457214406575932,0.0028692427280428306,-0.13292388517114495,0.98839619882352958,0.043419192337627567,0.021099524504714504,0
15,16,0.66568522577984979,-0.031630310393389038,0.37862651265951053,0.0087151890879523051,-0.00019459876220453913,-0.0046877593316486579,0.9999510150617037,0.059162061026378637,0.015395920550503749,0
16,17,0.67600265102244084,-0.0054088457073175888,0.3802850905027011,-0.0014152030220598883,-0.00355574829795795,0.0079010596686938557,0.99996146281272247,0.059391131830360967,0.01535116917768733,0
17,18,0.090716495352536342,-0.068376094167811985,0.0539830172079514,0.055329652166494901,0.0020686825588598647,-0.11669124920973037,0.99162366979690331,0.043144334083868773,0.020180903461573366,0
18,19,0.3844695092310868,-0.13112208401013614,0.23644404356409199,0.075058594982386609,-0.011006778449277587,-0.13552104897778194,0.98786593393607836,0.05175041462514441,0.021237611090861377,0
19,20,0.016294168718181012,-0.067764113988363128,-0.0039451268811989681,0.077933542592157831,0.013291561493437392,-0.11843511301263492,0.98980948739532038,0.041745178913634856,0.020715345672966994,0
20,21,0.12364216732610345,-0.041488837835763626,0.094991245401186086,0.056992817543212511,-0.0077510673650050014,-0.11947268712649886,0.99117002413004951,0.044033612362768551,0.02031954924433952,0
21,22,0.0073607255151664219,-0.11858345055323838,-0.01879792075190001,0.080524933933789913,0.016967830474590242,-0.13144572347277647,0.9879017408247962,0.043007238855018906,0.021228382218326264,0
22,23,0.55730746258498076,-0.19605378528837836,0.33391248635382587,0.072184949507078058,-0.013407020799319788,-0.12586068535183373,0.98932738400426079,0.056965520974939982,0.020849213098042663,0
23,24,0.65060179541816243,-0.00039855885153539106,0.39188048989884061,0.0029271858583087493,-0.0054280992918289061,0.005157798147994724,0.99996768169741046,0.058987712694889192,0.015321588440935896,0
